"station","line","line_id","gps_lat","gps_lon","go_lat","go_lon","baidu_lat","baidu_lon"
"爱国路",12,8,31.2821277583,121.5487572332,31.2800144365,121.5530380388,31.286351,121.559427
"安亭",11,35,31.2903171535,121.1575367811,31.2884467974,121.1620965364,31.294335,121.168602
"鞍山新村",8,23,31.2752131105,121.5051087029,31.2732050138,121.5095182545,31.278923,121.516066
"白银路",11,29,31.3475817411,121.2407752082,31.3456163684,121.245211582,31.351371,121.251801
"宝安公路",1,26,31.3716443573,121.4262966743,31.3698582267,121.4309422603,31.376207,121.437357
"宝山路",3,14,31.2534618006,121.4719653258,31.2515587496,121.4765143523,31.257464,121.483032
"宝山路",4,18,31.2534618006,121.4719653258,31.2515587496,121.4765143523,31.257464,121.483032
"宝杨路",3,26,31.3974321597,121.4750550587,31.3955502527,121.4795826275,31.401287,121.486126
"北桥",5,5,31.0469765039,121.4053874674,31.045050848,121.4100169602,31.051134,121.416485
"北新泾",2,27,31.2183044332,121.3694031894,31.216441865,121.3740165889,31.222104,121.38064
"北洋泾路",6,14,31.2413736847,121.5485316219,31.239241122,121.5528070631,31.245588,121.559229
"博兴路",6,10,31.2661227956,121.582728207,31.2639540028,121.5869446396,31.270058,121.593414
"曹杨路",3,10,31.2405719075,121.4130322361,31.2387464269,121.4176778221,31.244839,121.424183
"曹杨路",11,18,31.2405719075,121.4130322361,31.2387464269,121.4176778221,31.244839,121.424183
"曹杨路",4,22,31.2405719075,121.4130322361,31.2387464269,121.4176778221,31.244839,121.424183
"漕宝路",1,6,31.1701809476,121.4304095787,31.1683082149,121.4350390715,31.174651,121.441431
"漕宝路",12,25,31.1701809476,121.4304095787,31.1683082149,121.4350390715,31.174651,121.441431
"漕河泾开发区",9,13,31.1723430257,121.3929658545,31.1704796699,121.3976007117,31.17622,121.404164
"漕溪路",3,4,31.1785026407,121.4337148881,31.1766346953,121.4383443809,31.182978,121.444739
"昌吉东路",11,33,31.2955342697,121.1958991953,31.2935953555,121.2003784844,31.29994,121.206771
"昌平路",7,16,31.2359734754,121.4376999403,31.2341204747,121.4423187042,31.240476,121.448746
"常熟路",1,10,31.2155803213,121.4455843309,31.2137039902,121.4501816372,31.219964,121.456628
"常熟路",7,14,31.2155803213,121.4455843309,31.2137039902,121.4501816372,31.219964,121.456628
"场中路",7,24,31.3056739211,121.4090339147,31.3038772943,121.4136902295,31.309963,121.420162
